"c..INC0000220....INC0000125....INC0000280....INC0000146....INC0000167..." "c..INC0000174....INC0000045....INC0000304....INC0000173....INC0000116..." "c..INC0000174....INC0000045....INC0000304....INC0000173....INC0000116....1" "c..INC0000220....INC0000125....INC0000280....INC0000146....INC0000167....1" "c..INC0000174....INC0000045....INC0000304....INC0000173....INC0000116....2" "c..INC0000089....INC0000332....INC0000137....INC0000062....INC0000128..." "c..INC0000174....INC0000045....INC0000304....INC0000173....INC0000116....3" "c..INC0000176....INC0000140....INC0000158....INC0000066....INC0000060..." "c..INC0000174....INC0000045....INC0000304....INC0000173....INC0000116....4" "c..INC0000307....INC0000284....INC0000232....INC0000073....INC0000103..."
"58" "INC0000161" "INC0000093" "INC0000161" "INC0000160" "INC0000161" "INC0000067" "INC0000067" "INC0000161" "INC0000067" "INC0000283"
"59" "INC0000064" "INC0000337" "INC0000064" "INC0000094" "INC0000064" "INC0000262" "INC0000262" "INC0000064" "INC0000262" "INC0000204"
"60" "INC0000164" "INC0000297" "INC0000164" "INC0000294" "INC0000164" "INC0000115" "INC0000115" "INC0000164" "INC0000115" "INC0000135"
"61" "INC0000307" "INC0000174" "INC0000307" "INC0000220" "INC0000307" "INC0000089" "INC0000307" "INC0000176" "INC0000176" "INC0000307"
"62" "INC0000284" "INC0000045" "INC0000284" "INC0000125" "INC0000284" "INC0000332" "INC0000284" "INC0000140" "INC0000140" "INC0000284"
"63" "INC0000232" "INC0000304" "INC0000232" "INC0000280" "INC0000232" "INC0000137" "INC0000232" "INC0000158" "INC0000158" "INC0000232"
"64" "INC0000073" "INC0000173" "INC0000073" "INC0000146" "INC0000073" "INC0000062" "INC0000073" "INC0000066" "INC0000066" "INC0000073"
"65" "INC0000103" "INC0000116" "INC0000103" "INC0000167" "INC0000103" "INC0000128" "INC0000103" "INC0000060" "INC0000060" "INC0000103"
"66" "INC0000131" "INC0000261" "INC0000131" "INC0000086" "INC0000131" "INC0000119" "INC0000131" "INC0000169" "INC0000169" "INC0000131"
"67" "INC0000148" "INC0000195" "INC0000148" "INC0000047" "INC0000148" "INC0000217" "INC0000148" "INC0000298" "INC0000298" "INC0000148"
"68" "INC0000147" "INC0000286" "INC0000147" "INC0000149" "INC0000147" "INC0000302" "INC0000147" "INC0000319" "INC0000319" "INC0000147"
"69" "INC0000105" "INC0000323" "INC0000105" "INC0000259" "INC0000105" "INC0000250" "INC0000105" "INC0000079" "INC0000079" "INC0000105"
"70" "INC0000102" "INC0000085" "INC0000102" "INC0000179" "INC0000102" "INC0000152" "INC0000102" "INC0000306" "INC0000306" "INC0000102"
"71" "INC0000134" "INC0000087" "INC0000134" "INC0000193" "INC0000134" "INC0000221" "INC0000134" "INC0000194" "INC0000194" "INC0000134"
"72" "INC0000070" "INC0000236" "INC0000070" "INC0000282" "INC0000070" "INC0000071" "INC0000070" "INC0000325" "INC0000325" "INC0000070"
"73" "INC0000315" "INC0000126" "INC0000315" "INC0000074" "INC0000315" "INC0000278" "INC0000315" "INC0000141" "INC0000141" "INC0000315"
"74" "INC0000265" "INC0000130" "INC0000265" "INC0000272" "INC0000265" "INC0000113" "INC0000265" "INC0000100" "INC0000100" "INC0000265"
"75" "INC0000197" "INC0000080" "INC0000197" "INC0000333" "INC0000197" "INC0000132" "INC0000197" "INC0000114" "INC0000114" "INC0000197"
"76" "INC0000213" "INC0000171" "INC0000213" "INC0000324" "INC0000213" "INC0000279" "INC0000213" "INC0000237" "INC0000237" "INC0000213"
"77" "INC0000166" "INC0000098" "INC0000166" "INC0000099" "INC0000166" "INC0000303" "INC0000166" "INC0000285" "INC0000285" "INC0000166"
"78" "INC0000283" "INC0000093" "INC0000283" "INC0000160" "INC0000283" "INC0000067" "INC0000283" "INC0000161" "INC0000161" "INC0000283"
"79" "INC0000204" "INC0000337" "INC0000204" "INC0000094" "INC0000204" "INC0000262" "INC0000204" "INC0000064" "INC0000064" "INC0000204"
"80" "INC0000135" "INC0000297" "INC0000135" "INC0000294" "INC0000135" "INC0000115" "INC0000135" "INC0000164" "INC0000164" "INC0000135"
